class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1035,1020,1031,1003,1139,1167,1033,1018,346023.265,3766548.798
Water,1035,1020,1031,1003,1139,1167,1033,1018,346028.665,3766549.523
Water,1035,1020,1031,1003,1139,1167,1033,1018,346025.416,3766545.854
Water,1035,1020,1031,1003,1139,1167,1033,1018,346022.901,3766544.364
Water,1035,1017,1032,1003,1136,1145,1043,1014,346033.297,3766545.499
Water,1035,1020,1031,1003,1139,1167,1033,1018,346025.879,3766544.795
Water,1030,1016,1028,1002,1166,1146,1043,1014,346033.000,3766553.781
Water,1035,1017,1032,1003,1136,1145,1043,1014,346032.719,3766547.020
Water,1030,1018,1029,1001,1158,1160,1043,1005,346027.200,3766552.754
Water,1030,1016,1028,1002,1166,1146,1043,1014,346031.183,3766552.296
Water,1035,1020,1031,1003,1139,1167,1033,1018,346027.116,3766545.571
Water,1035,1020,1031,1003,1139,1167,1033,1018,346023.819,3766543.103
Water,1035,1020,1031,1003,1139,1167,1033,1018,346021.980,3766541.257
Water,1030,1018,1029,1001,1158,1160,1043,1005,346027.051,3766551.684
Water,1039,1023,1025,1006,1164,1157,1040,1034,346026.781,3766539.657
Water,1039,1023,1025,1006,1164,1157,1040,1034,346027.938,3766538.629
Water,1035,1020,1031,1003,1139,1167,1033,1018,346026.628,3766547.049
Water,1041,1021,1032,1007,1159,1134,1037,1007,346031.828,3766537.926
Water,1030,1018,1029,1001,1158,1160,1043,1005,346028.854,3766554.922
Water,1035,1020,1031,1003,1139,1167,1033,1018,346027.533,3766542.519
Water,1030,1018,1029,1001,1158,1160,1043,1005,346023.665,3766553.430
Water,1035,1020,1031,1003,1139,1167,1033,1018,346023.247,3766546.903
Water,1030,1016,1028,1002,1166,1146,1043,1014,346032.445,3766552.383
Water,1030,1018,1029,1001,1158,1160,1043,1005,346024.263,3766551.058
Water,1041,1021,1032,1007,1159,1134,1037,1007,346032.953,3766538.979
Water,1030,1018,1029,1001,1158,1160,1043,1005,346029.586,3766550.352
Water,1029,1020,1025,1010,1153,1126,1033,1022,347913.036,3764826.417
Water,1028,1018,1029,1011,1157,1109,1033,1020,347894.611,3764874.304
Water,1024,1032,1018,1004,1170,1127,1032,1026,347801.272,3764855.786
Water,1032,1019,1021,1007,1152,1130,1035,1020,347845.037,3764897.663
Water,1029,1014,1033,1010,1157,1117,1036,1015,347886.277,3764904.753
Water,1037,1029,1028,1006,1167,1118,1043,1013,347831.426,3764882.343
Water,1024,1019,1024,1009,1200,1135,1046,1038,347881.487,3764852.959
Water,1037,1018,1019,1010,1163,1114,1040,1043,347834.735,3764844.425
Water,1023,1026,1018,1007,1156,1139,1036,1027,347895.518,3764851.681
Water,1031,1010,1027,1003,1152,1109,1040,1014,347898.726,3764938.978
Water,1037,1027,1017,1004,1154,1133,1041,1027,347860.048,3764961.318
Water,1031,1017,1035,1014,1157,1107,1032,1021,347881.151,3764884.349
Water,1039,1029,1021,1006,1185,1126,1036,1012,347799.836,3764842.288
Water,1029,1026,1021,1007,1167,1102,1020,1020,347843.887,3764828.497
Water,1028,1025,1027,1009,1180,1126,1031,1014,347805.953,3764901.121
Water,1034,1023,1020,1013,1177,1130,1033,1010,347940.516,3764877.954
Water,1029,1017,1021,1013,1178,1121,1032,1031,347915.829,3764964.326
Water,1035,1028,1021,1003,1163,1112,1049,1022,347944.675,3764857.577
Water,1029,1021,1021,1008,1168,1101,1041,1022,347809.019,3764955.224
Water,1034,1025,1020,1009,1175,1123,1032,1018,347947.764,3764867.177
Water,1022,1017,1013,1008,1177,1127,1033,1023,347926.393,3764925.406
Water,1030,1016,1033,1008,1156,1138,1036,1009,347874.896,3764897.348
Water,1040,1015,1024,1009,1190,1126,1045,1039,347844.090,3764841.803
Water,1029,1014,1033,1010,1157,1117,1036,1015,347881.789,3764901.091
Water,1027,1015,1029,1009,1173,1114,1045,1010,347881.820,3764869.040
Water,1029,1019,1019,1008,1130,1123,1040,1023,347917.355,3764945.780
Water,1024,1018,1012,1009,1170,1118,1035,1011,347934.678,3764914.016
Water,1030,1026,1019,1010,1160,1107,1058,1019,347829.984,3764850.095
Water,1030,1018,1023,1011,1154,1109,1032,1018,347901.129,3764958.833
Water,1039,1030,1018,1006,1172,1130,1032,1011,347922.531,3764859.884
Water,1024,1018,1012,1009,1170,1118,1035,1011,347935.430,3764915.188
Water,1028,1008,1031,1006,1157,1115,1015,1005,347874.975,3764914.559
Water,1032,1026,1021,1006,1202,1127,1043,1001,347949.070,3764832.284
Water,1043,1028,1020,1005,1153,1123,1035,1010,347933.706,3764846.417
Water,1025,1027,1016,1008,1160,1109,1054,1037,347907.372,3764866.732
Water,1029,1016,1021,1009,1143,1130,1040,1009,347851.177,3764922.473
Water,1037,1024,1029,1014,1180,1132,1029,1022,347868.340,3764835.386
Water,1042,1015,1026,1011,1205,1136,1041,1018,347846.559,3764857.711
Water,1030,1016,1027,1010,1157,1098,1029,1010,347896.301,3764953.361
Water,1035,1030,1030,1013,1175,1129,1036,1013,347833.509,3764868.838
Water,1022,1018,1014,1010,1134,1124,1031,1016,347932.124,3764928.955
Water,1029,1017,1022,1009,1182,1106,1040,1022,347923.982,3764955.583
Water,1033,1015,1032,1011,1180,1114,1027,1014,347869.999,3764859.942
Water,1037,1020,1023,1012,1187,1121,1038,1023,347833.134,3764859.105
Water,1025,1008,1028,1011,1183,1120,1032,1000,347869.453,3764927.514
Water,1032,1026,1021,1006,1202,1127,1043,1001,347946.034,3764834.920
Water,1021,1024,1032,1008,1163,1134,1037,1033,347795.652,3764891.278
Water,1028,1021,1027,1003,1173,1115,1045,1020,347826.173,3764954.159
Water,1031,1023,1021,1006,1195,1123,1050,1028,347959.735,3764834.270
Water,1029,1011,1033,1008,1172,1110,1035,1011,347876.351,3764876.784
Water,1033,1023,1011,1018,1167,1134,1057,1017,349760.925,3766848.999
Water,1038,1026,1005,1023,1147,1116,1047,1009,349782.169,3766875.234
Water,1037,1019,1018,1022,1162,1144,1042,1011,349802.885,3766911.006
Water,1042,1028,1008,1014,1133,1127,1054,1008,349814.071,3766855.042
Water,1037,1027,1008,1020,1142,1152,1053,1030,349749.430,3766885.165
