class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.408,3765461.480
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.833,3765460.075
Water,1039,1035,1020,1017,1156,1134,1044,1034,341321.539,3765455.258
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.899,3765464.100
Water,1039,1035,1020,1017,1156,1134,1044,1034,341321.905,3765456.757
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.267,3765460.658
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.070,3765460.610
Water,1035,1032,1020,1016,1168,1126,1046,1024,341320.447,3765463.638
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.290,3765455.261
Water,1039,1035,1020,1017,1156,1134,1044,1034,341329.621,3765458.340
Water,1031,1031,1020,1016,1155,1148,1046,1018,341319.891,3765460.377
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.597,3765461.637
Water,1035,1032,1020,1016,1168,1126,1046,1024,341324.719,3765463.871
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.262,3765454.297
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.786,3765458.891
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.237,3765464.634
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.164,3765462.901
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.861,3765460.407
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.102,3765455.864
Water,1034,1032,1020,1016,1176,1116,1039,1022,341330.601,3765461.299
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.454,3765460.342
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.713,3765464.229
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.365,3765462.316
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.481,3765459.690
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.691,3765458.553
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.648,3765457.710
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.123,3765464.952
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.891,3765458.466
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.645,3765463.634
Water,1035,1032,1019,1017,1154,1108,1039,1015,341317.591,3765458.006
Water,1039,1035,1020,1017,1156,1134,1044,1034,341328.817,3765459.371
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.295,3765461.430
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.202,3765460.910
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.090,3765456.815
Water,1039,1037,1020,1016,1181,1126,1046,1022,341330.207,3765455.485
Water,1035,1032,1020,1016,1168,1126,1046,1024,341329.459,3765464.415
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.144,3765455.416
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.681,3765464.107
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.116,3765453.805
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.237,3765465.389
Water,1039,1035,1020,1017,1156,1134,1044,1034,341321.442,3765457.588
Water,1039,1037,1020,1016,1181,1126,1046,1022,341330.464,3765455.644
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.746,3765459.093
Water,1039,1035,1020,1017,1156,1134,1044,1034,341328.094,3765455.982
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.820,3765465.225
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.129,3765456.911
Water,1039,1035,1020,1017,1156,1134,1044,1034,341321.488,3765457.239
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.034,3765465.250
Water,1031,1031,1020,1016,1155,1148,1046,1018,341316.639,3765462.093
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.259,3765453.463
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.331,3765453.811
Water,1035,1032,1020,1016,1168,1126,1046,1024,341324.727,3765462.343
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.903,3765457.775
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.250,3765458.393
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.371,3765458.878
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.350,3765461.138
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.041,3765453.503
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.879,3765455.045
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.510,3765453.354
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.283,3765458.095
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.194,3765454.627
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.837,3765464.333
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.708,3765465.053
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.242,3765454.017
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.913,3765453.647
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.942,3765466.531
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.293,3765458.077
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.427,3765455.812
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.246,3765463.204
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.179,3765462.857
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.412,3765456.827
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.554,3765466.200
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.510,3765458.377
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.454,3765461.951
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.127,3765457.144
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.879,3765459.930
Water,1039,1037,1020,1016,1181,1126,1046,1022,341330.400,3765459.785
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.124,3765460.130
Water,1031,1031,1020,1016,1155,1148,1046,1018,341319.758,3765463.158
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.950,3765457.331
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.632,3765452.765
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.172,3765460.908
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.992,3765459.207
Water,1035,1032,1020,1016,1168,1126,1046,1024,341323.390,3765464.741
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.046,3765465.231
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.806,3765463.636
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.970,3765460.871
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.743,3765454.192
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.757,3765455.657
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.780,3765463.115
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.401,3765453.395
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.494,3765459.442
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.071,3765455.542
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.635,3765453.593
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.980,3765454.860
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.081,3765464.769
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.422,3765458.034
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.145,3765455.786
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.065,3765458.346
Water,1035,1032,1020,1016,1168,1126,1046,1024,341323.029,3765460.472
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.317,3765454.016
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.378,3765454.362
Water,1035,1032,1020,1016,1168,1126,1046,1024,341329.207,3765460.634
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.973,3765454.993
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.402,3765454.787
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.409,3765453.826
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.919,3765453.328
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.660,3765460.623
Water,1039,1035,1020,1017,1156,1134,1044,1034,341328.290,3765456.750
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.799,3765457.229
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.846,3765462.723
Water,1035,1032,1020,1016,1168,1126,1046,1024,341320.754,3765462.590
Water,1035,1032,1019,1017,1154,1108,1039,1015,341317.263,3765458.230
Water,1035,1032,1019,1017,1154,1108,1039,1015,341317.466,3765458.832
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.565,3765452.045
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.973,3765455.509
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.090,3765463.193
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.244,3765456.097
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.888,3765455.150
Water,1035,1032,1020,1016,1168,1126,1046,1024,341323.934,3765465.582
Water,1029,1019,1017,1007,1172,1107,1039,1008,343214.581,3765746.720
Water,1037,1031,1009,1008,1179,1116,1055,1025,343241.820,3765759.522
Water,1030,1020,1014,1010,1157,1092,1025,1012,343237.908,3765778.913
Water,1029,1015,1019,1008,1157,1096,1031,1022,343233.867,3765780.491
Water,1032,1022,1012,1010,1170,1096,1021,1015,343238.699,3765767.256
Water,1033,1026,1011,1007,1191,1093,1037,1016,343240.818,3765778.905
Water,1029,1017,1016,1010,1175,1099,1038,1020,343225.391,3765760.280
Water,1033,1023,1011,1008,1164,1121,1038,1025,343233.135,3765757.086
Water,1025,1031,1016,1005,1159,1115,1039,1022,343257.973,3765802.006
Water,1028,1012,1022,1011,1147,1099,1050,1020,343215.522,3765774.648
Water,1036,1028,1008,1008,1162,1112,1041,1011,343246.290,3765768.052
Water,1024,1033,1012,1006,1175,1114,1046,1023,343253.249,3765783.324
Water,1033,1026,1011,1007,1191,1093,1037,1016,343247.200,3765778.209
Water,1024,1037,1008,1014,1160,1129,1044,1015,343260.552,3765797.041
Water,1038,1031,1008,1008,1197,1122,1043,1019,343249.594,3765740.985
Water,1036,1028,1008,1008,1162,1112,1041,1011,343244.811,3765760.167
Water,1029,1017,1020,1008,1184,1107,1042,1021,343211.291,3765754.544
Water,1030,1020,1014,1010,1157,1092,1025,1012,343238.246,3765772.833
Water,1028,1012,1022,1011,1147,1099,1050,1020,343219.457,3765778.763
Water,1029,1015,1018,1011,1139,1109,1044,1007,343228.607,3765774.611
Water,1027,1018,1022,1001,1176,1126,1039,1006,343238.827,3765802.763
Water,1029,1019,1017,1007,1172,1107,1039,1008,343218.716,3765745.765
Water,1028,1014,1022,1005,1188,1128,1030,1011,343231.958,3765797.728
Water,1033,1023,1011,1008,1164,1121,1038,1025,343237.257,3765753.616
Water,1023,1033,1015,1005,1174,1137,1033,1015,343252.924,3765796.666
Water,1030,1018,1015,1008,1166,1116,1026,1025,343223.785,3765753.882
Water,1029,1019,1017,1007,1172,1107,1039,1008,343213.532,3765745.174
Water,1034,1033,1007,1008,1190,1104,1046,1015,343251.497,3765755.743
Water,1029,1019,1017,1007,1172,1107,1039,1008,343210.966,3765747.067
Water,1030,1020,1014,1010,1157,1092,1025,1012,343235.876,3765772.936
Water,1029,1017,1020,1008,1184,1107,1042,1021,343217.697,3765758.877
Water,1028,1016,1022,1003,1169,1118,1044,1015,343222.895,3765800.002
Water,1028,1014,1022,1005,1188,1128,1030,1011,343230.067,3765796.780
Water,1033,1026,1011,1007,1191,1093,1037,1016,343241.234,3765773.121
Water,1028,1016,1019,1011,1160,1120,1030,1018,343218.366,3765782.231
Water,1024,1033,1012,1006,1175,1114,1046,1023,343252.648,3765783.246
Water,1034,1031,1006,1008,1155,1128,1045,1011,343255.028,3765763.276
Water,1028,1018,1019,1009,1168,1116,1031,1027,343217.951,3765794.557
Water,1039,1027,1007,1007,1172,1118,1038,1022,343242.533,3765739.509
Water,1032,1022,1012,1010,1170,1096,1021,1015,343234.935,3765769.911
Water,1030,1031,1008,1007,1184,1131,1046,1016,343255.080,3765778.105
Water,1023,1035,1008,1014,1178,1116,1044,1006,343264.991,3765785.212
Water,1026,1026,1016,1004,1150,1087,1036,1016,343240.522,3765784.685
Water,1027,1018,1022,1001,1176,1126,1039,1006,343230.616,3765802.217
Water,1033,1026,1011,1007,1191,1093,1037,1016,343242.681,3765773.679
Water,1032,1016,1014,1006,1179,1110,1026,1012,343222.701,3765744.872
Water,1037,1031,1009,1008,1179,1116,1055,1025,343243.293,3765755.401
Water,1028,1014,1022,1005,1188,1128,1030,1011,343230.657,3765797.007
Water,1028,1016,1019,1011,1160,1120,1030,1018,343217.101,3765782.115
Water,1034,1031,1006,1008,1155,1128,1045,1011,343256.752,3765766.678
Water,1024,1033,1012,1006,1175,1114,1046,1023,343259.987,3765787.193
Water,1028,1014,1022,1005,1188,1128,1030,1011,343232.951,3765790.953
Water,1032,1016,1014,1006,1179,1110,1026,1012,343224.678,3765747.476
Water,1036,1015,1014,1004,1166,1107,1030,1010,343237.565,3765739.823
Water,1023,1035,1008,1014,1178,1116,1044,1006,343263.706,3765788.760
Water,1026,1025,1021,1002,1168,1111,1034,1010,343248.718,3765800.360
Water,1038,1031,1008,1008,1197,1122,1043,1019,343249.544,3765744.570
Water,1029,1017,1020,1008,1184,1107,1042,1021,343213.766,3765753.414
Water,1028,1014,1022,1005,1188,1128,1030,1011,343230.849,3765798.258
Water,1030,1020,1014,1010,1157,1092,1025,1012,343236.595,3765774.972
Water,1023,1032,1007,1011,1180,1104,1041,996,343261.801,3765774.032
Water,1024,1025,1019,1002,1164,1116,1033,1005,343240.666,3765793.885
